trial_id,timestamp,sequence,M4D_score,M4D_raw,M4D_amplified,learning_rate,efficiency
0,2026-01-06T09:03:36.207293,standard,1.3972594999999997,1.9960849999999997,1.3972594999999997,0.0,1.3972594999999997
1,2026-01-06T09:03:36.207358,standard,1.3157948941485031,1.8797069916407187,1.3157948941485031,-0.03095655022356867,0.36232033317132695
2,2026-01-06T09:03:36.207416,standard,1.2791293313177143,1.8273276161681635,1.2791293313177143,-0.013932913875699747,0.20423073357173588
3,2026-01-06T09:03:36.207474,standard,1.276487465685648,1.8235535224080688,1.276487465685648,-0.0010039089401852185,0.14351042513625628
4,2026-01-06T09:03:36.207531,standard,1.2992114310964016,1.8560163301377166,1.2992114310964016,0.008635106856086372,0.11271697347411702
5,2026-01-06T09:03:36.207587,standard,1.3403490729214618,1.9147843898878028,1.3403490729214618,0.01563230389352287,0.09467149585690622
6,2026-01-06T09:03:36.207650,standard,1.3943351885323452,1.9919074121890648,1.3943351885323452,0.02051472393213569,0.08304817737339987
7,2026-01-06T09:03:36.207707,standard,1.4567412596201998,2.0810589423145713,1.4567412596201998,0.023714307013384776,0.0750083575414195
8,2026-01-06T09:03:36.207764,standard,1.5240755050922368,2.1772507215603385,1.5240755050922368,0.02558701327937403,0.06911082242661694
9,2026-01-06T09:03:36.207820,standard,1.5936201037737192,2.2766001482481704,1.5936201037737192,0.026426947498963325,0.06456030271151528
10,2026-01-06T09:03:36.207876,standard,1.6632963073611367,2.376137581944481,1.6632963073611367,0.026476957363218624,0.06089138697468515
11,2026-01-06T09:03:36.207931,standard,1.7315510472880684,2.473644353268669,1.7315510472880684,0.025936801172234066,0.05781980649995307
12,2026-01-06T09:03:36.207987,standard,1.7972606966676234,2.567515280953748,1.7972606966676234,0.024969666764230913,0.05516632186863464
13,2026-01-06T09:03:36.208043,standard,1.8596490445539646,2.6566414922199497,1.8596490445539646,0.023707572196809613,0.05281514476311707
14,2026-01-06T09:03:36.208099,standard,1.9182174334111057,2.7403106191587225,1.9182174334111057,0.02225598776571365,0.05069002953381225
15,2026-01-06T09:03:36.208155,standard,1.9726855459120467,2.8181222084457813,1.9726855459120467,0.020697882750357593,0.04873995497051871
16,2026-01-06T09:03:36.208211,standard,2.022941625250571,2.8899166075008162,2.022941625250571,0.01909731014863928,0.04693026969445769
17,2026-01-06T09:03:36.208266,standard,2.069001068539507,2.955715812199296,2.069001068539507,0.0175025884497956,0.045237077447929375
18,2026-01-06T09:03:36.208322,standard,2.1109724134673558,3.015674876381937,2.1109724134673558,0.01594911107258253,0.043643608113035644
19,2026-01-06T09:03:36.208378,standard,2.149029788576974,3.0700425551099633,2.149029788576974,0.014461802541654958,0.042137838991705374
20,2026-01-06T09:03:36.208413,deep_understanding,3.0473624999999993,2.0315749999999997,3.0473624999999993,0.0,3.0473624999999993
21,2026-01-06T09:03:36.208470,deep_understanding,2.8696917201991594,1.9131278134661063,2.8696917201991594,-0.06751489632431916,0.7902049664316525
22,2026-01-06T09:03:36.208526,deep_understanding,2.789725714448661,1.859817142965774,2.789725714448661,-0.03038708218518943,0.4454183913825593
23,2026-01-06T09:03:36.208582,deep_understanding,2.783963919837711,1.8559759465584738,2.783963919837711,-0.0021894819521610207,0.3129900264906302
24,2026-01-06T09:03:36.208638,deep_understanding,2.8335239049686245,1.8890159366457497,2.8335239049686245,0.018832794349747183,0.24583084107033726
25,2026-01-06T09:03:36.208694,deep_understanding,2.9232433214665052,1.9488288809776702,2.9232433214665052,0.034093378269194674,0.20647443534521784
26,2026-01-06T09:03:36.208750,deep_understanding,3.040984703245102,2.0273231354967347,3.040984703245102,0.044741725075866795,0.18112448075754525
27,2026-01-06T09:03:36.208806,deep_understanding,3.1770896435267475,2.118059762351165,3.1770896435267475,0.051719877307025264,0.16358998164500868
28,2026-01-06T09:03:36.208862,deep_understanding,3.3239427188626323,2.215961812575088,3.3239427188626323,0.05580416862763621,0.15072771278852032
29,2026-01-06T09:03:36.208918,deep_understanding,3.4756164788903856,2.3170776525935906,3.4756164788903856,0.05763602881054627,0.1408032262237043
30,2026-01-06T09:03:36.208974,deep_understanding,3.6275772635224888,2.418384842348326,3.6275772635224888,0.057745098160199196,0.1328014797821335
31,2026-01-06T09:03:36.209031,deep_understanding,3.7764378974280635,2.5176252649520423,3.7764378974280635,0.05656704088411838,0.12610249569619192
32,2026-01-06T09:03:36.209088,deep_understanding,3.919747798994239,2.6131651993294924,3.919747798994239,0.05445776259514665,0.12031536055071168
33,2026-01-06T09:03:36.209144,deep_understanding,4.055814085740395,2.7038760571602634,4.055814085740395,0.051705188963539275,0.11518754503597532
34,2026-01-06T09:03:36.209201,deep_understanding,4.183549207161054,2.789032804774036,4.183549207161054,0.048539346139850406,0.11055276068993049
35,2026-01-06T09:03:36.209257,deep_understanding,4.3023418032973835,2.8682278688649223,4.3023418032973835,0.04514118653180532,0.10629973246118372
36,2026-01-06T09:03:36.209313,deep_understanding,4.411948137391548,2.9412987582610315,4.411948137391548,0.041650406955782336,0.1023528871922337
37,2026-01-06T09:03:36.209369,deep_understanding,4.512401789880279,3.0082678599201857,4.512401789880279,0.038172387945717874,0.09866010817920057
38,2026-01-06T09:03:36.209425,deep_understanding,4.603939476764992,3.0692929845099948,4.603939476764992,0.034784321016191104,0.09518482052071257
39,2026-01-06T09:03:36.209482,deep_understanding,4.68694096486186,3.1246273099079067,4.68694096486186,0.03154056547680959,0.09190080323258548
40,2026-01-06T09:03:36.209516,emotional_learning,4.0467699999999995,2.0233849999999998,4.0467699999999995,0.0,4.0467699999999995
41,2026-01-06T09:03:36.209572,emotional_learning,3.8108306322435723,1.9054153161217862,3.8108306322435723,-0.08965695974744234,1.0493591596033025
42,2026-01-06T09:03:36.209628,emotional_learning,3.7046391197172666,1.8523195598586333,3.7046391197172666,-0.040352774759996185,0.5914970023077988
43,2026-01-06T09:03:36.209684,emotional_learning,3.6969876973552225,1.8484938486776112,3.6969876973552225,-0.0029075404975767503,0.4156376701168593
44,2026-01-06T09:03:36.209740,emotional_learning,3.7628012856724067,1.8814006428362033,3.7628012856724067,0.025009163560529995,0.3264530795788846
45,2026-01-06T09:03:36.209797,emotional_learning,3.881944919913863,1.9409724599569316,3.881944919913863,0.045274581011753454,0.2741894181351799
46,2026-01-06T09:03:36.209853,emotional_learning,4.038300552543776,2.019150276271888,4.038300552543776,0.05941514039936674,0.24052573823928441
47,2026-01-06T09:03:36.209909,emotional_learning,4.219042223146979,2.1095211115734895,4.219042223146979,0.0686818348292173,0.2172406564764027
48,2026-01-06T09:03:36.209965,emotional_learning,4.414056967758754,2.207028483879377,4.414056967758754,0.0741056029524743,0.20016010116328475
49,2026-01-06T09:03:36.210021,emotional_learning,4.61547338010468,2.30773669005234,4.61547338010468,0.076538236691452,0.18698079791468852
50,2026-01-06T09:03:36.210077,emotional_learning,4.817270949125648,2.408635474562824,4.817270949125648,0.07668307622796788,0.17635481316644952
51,2026-01-06T09:03:36.210133,emotional_learning,5.014951647588682,2.507475823794341,5.014951647588682,0.07511866541595297,0.16745884236236372
52,2026-01-06T09:03:36.210190,emotional_learning,5.205261205562487,2.6026306027812436,5.205261205562487,0.07231763203004589,0.15977376882986633
53,2026-01-06T09:03:36.210245,emotional_learning,5.3859515458865355,2.6929757729432677,5.3859515458865355,0.06866232932313826,0.15296424420305554
54,2026-01-06T09:03:36.210395,emotional_learning,5.555578446956389,2.7777892234781945,5.555578446956389,0.06445822240654439,0.14680944435628843
55,2026-01-06T09:03:36.210464,emotional_learning,5.713330048305625,2.8566650241528126,5.713330048305625,0.0599456085127099,0.14116160067335096
56,2026-01-06T09:03:36.210523,emotional_learning,5.858882677709656,2.929441338854828,5.858882677709656,0.05530999917353154,0.13592035516054146
57,2026-01-06T09:03:36.210580,emotional_learning,5.992280928584576,2.996140464292288,5.992280928584576,0.05069133533246972,0.13101649901393203
58,2026-01-06T09:03:36.210636,emotional_learning,6.113839149883963,3.0569195749419813,6.113839149883963,0.046192124093766815,0.12640146229357485
59,2026-01-06T09:03:36.210693,emotional_learning,6.224061656062917,3.1120308280314584,6.224061656062917,0.041884552348002625,0.12204042462868464
